0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:47:13 +0800] "GET /meeting/jsp/cancelmeeting.jsp?meetingid=66&meetingname=asdkjflk HTTP/1.1" 200 5143
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:47:17 +0800] "GET /meeting/CancleMeetingServlet?meetingid=66&description=sdfa HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:47:17 +0800] "GET /meeting/MybookingServlet HTTP/1.1" 200 3211
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:47:20 +0800] "GET /meeting/jsp/notifications.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:47:20 +0800] "GET /meeting/NotificationsServlet HTTP/1.1" 200 3765
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:47:20 +0800] "POST /meeting/NotificationsServletTwo HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:47:23 +0800] "GET /meeting/NotificationsServlet HTTP/1.1" 200 3765
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:47:23 +0800] "POST /meeting/NotificationsServletTwo HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:47:27 +0800] "GET /meeting/jsp/searchmeetings.jsp HTTP/1.1" 200 5863
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:47:27 +0800] "GET /meeting/jquery-easyui-1.5.3/demo.css HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:47:27 +0800] "GET /meeting/js/searchmeetings.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:47:30 +0800] "POST /meeting/SearchMeetingServlet HTTP/1.1" 200 1240
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:48:11 +0800] "GET /meeting/jsp/bookmeeting.jsp HTTP/1.1" 200 9602
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:48:11 +0800] "GET /meeting/jquery-easyui-1.5.3/demo.css HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:48:12 +0800] "POST /meeting/QuerryAllMeetingRoomServlet HTTP/1.1" 200 727
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:48:12 +0800] "POST /meeting/QueryDepartmentServlet HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:48:12 +0800] "POST /meeting/QueryEmployeeByDidServlet HTTP/1.1" 200 1083
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:48:42 +0800] "POST /meeting/MeetingBookServlet HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:48:42 +0800] "GET /meeting/MybookingServlet HTTP/1.1" 200 3773
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:48:45 +0800] "GET /meeting/jsp/searchmeetings.jsp HTTP/1.1" 200 5863
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:48:45 +0800] "GET /meeting/jquery-easyui-1.5.3/demo.css HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:48:47 +0800] "POST /meeting/SearchMeetingServlet HTTP/1.1" 200 1240
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:48:50 +0800] "POST /meeting/SearchMeetingServlet HTTP/1.1" 200 1219
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:48:51 +0800] "POST /meeting/SearchMeetingServlet HTTP/1.1" 200 1237
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:48:51 +0800] "POST /meeting/SearchMeetingServlet HTTP/1.1" 200 820
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:48:54 +0800] "GET /meeting/MeetingDetailsServlet?meetingid=67 HTTP/1.1" 200 6305
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:48:54 +0800] "POST /meeting/MeetingDetailsServletTwo HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:49:40 +0800] "GET /meeting/LoginOutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:49:40 +0800] "GET /meeting/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:49:40 +0800] "GET /meeting/jsp/login.jsp HTTP/1.1" 200 4120
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:49:46 +0800] "POST /meeting/LoginServlet HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:49:46 +0800] "GET /meeting/NotificationsServlet HTTP/1.1" 200 4868
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:49:46 +0800] "POST /meeting/NotificationsServletTwo HTTP/1.1" 200 551
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:49:56 +0800] "GET /meeting/MeetingDetailsServlet?meetingid=67 HTTP/1.1" 200 6304
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:49:56 +0800] "POST /meeting/MeetingDetailsServletTwo HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:49:59 +0800] "POST /meeting/NotificationsServletTwo HTTP/1.1" 200 551
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:50:02 +0800] "GET /meeting/MeetingDetailsServlet?meetingid=66 HTTP/1.1" 200 6310
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:50:03 +0800] "POST /meeting/MeetingDetailsServletTwo HTTP/1.1" 200 541
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:50:08 +0800] "POST /meeting/NotificationsServletTwo HTTP/1.1" 200 551
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:50:11 +0800] "GET /meeting/MyMeetingServlet HTTP/1.1" 200 6252
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:50:19 +0800] "GET /meeting/jsp/searchmeetings.jsp HTTP/1.1" 200 5862
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:50:19 +0800] "GET /meeting/jquery-easyui-1.5.3/demo.css HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:50:21 +0800] "POST /meeting/SearchMeetingServlet HTTP/1.1" 200 1240
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:50:23 +0800] "POST /meeting/SearchMeetingServlet HTTP/1.1" 200 1219
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:50:24 +0800] "POST /meeting/SearchMeetingServlet HTTP/1.1" 200 1237
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:50:25 +0800] "POST /meeting/SearchMeetingServlet HTTP/1.1" 200 820
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:50:44 +0800] "POST /meeting/SearchMeetingServlet HTTP/1.1" 200 1237
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:50:45 +0800] "POST /meeting/SearchMeetingServlet HTTP/1.1" 200 1219
